ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"185.169.181.23","elite","AS34984","TR","Ates Dc","53","Ibrahim MALA trading as Ates Dc","4145","socks4","169","2","2024-04-24T08:01:43.273Z","99","6825","6867"
"152.70.246.185","elite","AS31898","KR","Oracle Corporation","288","Oracle Cloud Infrastructure (ap-seoul-1)","31898","socks5","4407","2","2024-04-24T08:01:43.191Z","99","6847","6918"
"182.160.125.148","elite","AS24323","BD","Aamra Networks Limited","209","N/A","8080","socks4","68","1","2024-04-24T08:01:43.281Z","94","6452","6831"
"188.43.20.173","elite","AS20485","RU","Joint Stock Company TransTeleCom","71","TTK PtP","4153","socks4","952","1","2024-04-24T08:01:43.277Z","99","6810","6851"
"196.2.13.12","elite","AS25429","BI","CBINET Burundi","399","Cbinet","4153","socks4","1403","2","2024-04-24T08:01:42.984Z","88","175","199"
"41.76.156.90","elite","AS37230","NG","Swifttalk-B1","187","Swifttalk Limited","47313","socks4","5094","1","2024-04-24T08:01:42.991Z","95","6505","6849"
"36.90.59.221","elite","AS7713","ID","PT. Telekomunikasi Indonesia","279","Telekomunikasi Indonesia","4153","socks4","72","2","2024-04-24T08:01:42.879Z","86","5957","6933"
"198.12.255.193","elite","AS398101","US","GoDaddy.com, LLC","139","GoDaddy.com, LLC","31203","socks5","2608","1","2024-04-24T08:01:07.976Z","100","179","179"
"199.192.28.108","elite","AS22612","US","Namecheap, Inc.","153","Namecheap, Inc","7497","socks5","615","1","2024-04-24T08:01:07.975Z","89","6066","6785"
"44.190.9.50","elite","AS15102","US","Xplore Inc.","131","Amateur Radio Digital Communications","48100","socks4","2298","82","2024-04-24T08:01:07.385Z","99","6727","6763"
"209.97.170.248","elite","AS14061","SG","DigitalOcean, LLC","264","DigitalOcean, LLC","8080","socks5","405","1","2024-04-24T08:01:07.391Z","89","6016","6748"
"61.7.138.214","elite","AS131090","TH","CAT Telecom Public Company Limited","293","National Telecom Public Company Limited","4145","socks4","2809","1","2024-04-24T08:01:07.978Z","84","5660","6722"
"103.121.89.75","elite","AS135967","VN","Cau Giay Branch of Bach Kim Network solutions Join stock company","307","BKNS-CG","39267","socks5","4595","2","2024-04-24T08:01:07.390Z","96","6573","6866"
"171.221.174.230","elite","AS4134","CN","Chinanet","217","Chinanet SC","10800","socks4","1209","1","2024-04-24T08:01:07.490Z","96","193","201"
