City,Menu_Link,Name,Number_of_Reviews,Phone,Price_Range,Rating,State,Street_Address,Zip_Code
San Francisco,https://www.thesnugsf.com/menu/,The Snug,430,"2301 Fillmore St San Francisco, CA 94115","$15.60,$10.80,$16.80,$15.60,$15.60",4.0,CA,2301 Fillmore St ,94115
San Francisco,,La Sarrasine,91,(415) 417-4915,"$16.00,$17.00,$17.00,$18.00,$17.00,$15.00",4.7,CA,607 Divisadero St ,94117
San Francisco,,Little Aloha,20,(415) 592-3888,,4.8,CA,1115 Taraval St ,94116
San Francisco,https://www.lokmasf.com/menus,Lokma,808,(415) 702-6263,"$37.00,$16.00,$24.00,$16.00,$12.00,$28.00,$16.00,$7.00,$16.00,$16.00,$24.00,$15.00,$20.00,$17.00,$16.00,$35.00,$8.50,$11.00,$8.00,$16.00",4.6,CA,1801 Clement St ,94121
San Francisco,https://www.bottegavalencia.com/_files/ugd/936480_cccea938a0a94069a27dbb142fca3f00.pdf,Bottega,1066,(415) 655-9048,"$23.00,$10.00,$19.00,$20.00,$13.00,$22.00,$24.00,$20.00,$20.00,$14.00,$17.00,$16.00,$27.00,$17.00,$13.00,$31.00",4.3,CA,1132 Valencia St ,94158
San Francisco,https://www.pearl6101.com/menu,Pearl,499,(415) 592-9777,"$19.00,$11.00,$12.00,$28.00",4.4,CA,6101 California St ,94121
San Francisco,https://kothairepublic.com/menu/dinner-menu,Kothai Republic,283,(415) 742-4058,"$31.00,$26.00,$25.00,$25.00,$26.00,$18.20,$26.00,$22.00,$16.00,$18.00,$22.10,$35.00,$35.00",4.6,CA,1398 9th Ave ,94122
,,,0,,,,, ,
San Francisco,https://www.dalidasf.com,Dalida,239,(415) 237-1999,,4.5,CA,101 Montgomery St Main Post Ste 100,94129
San Francisco,https://www.nopasf.com/s/dinner.pdf,Nopa,5504,(415) 864-8643,,4.2,CA,560 Divisadero St ,94117
San Francisco,https://www.otrasf.com/general-2,Otra,176,(415) 500-2774,,4.4,CA,682 Haight St ,94117
San Francisco,,Fermentation Lab,77,(415) 757-0667,,4.6,CA,1700A Post St ,94115
San Francisco,http://fablesf.com/menu/,Fable,863,(415) 590-2404,,4.1,CA,558 Castro St ,94114
San Francisco,,Four Chairs,513,(628) 218-5377,"$17.95,$16.95,$16.95,$19.95,$20.95,$22.95,$18.95,$19.95,$17.95,$16.95,$19.95",4.3,CA,3282 Mission St ,94110
San Francisco,https://www.woodenspoonsf.com/menus/,Wooden Spoon,711,(415) 946-3005,,4.4,CA,2172 Market St ,94114
San Francisco,,Santeria,321,(415) 896-4496,,4.4,CA,2251 Market St ,94114
San Francisco,https://blindbutchersf.com/wp-content/uploads/2021/06/BB_Menu_June2021.pdf,Blind Butcher,353,(415) 529-2478,,4.1,CA,4058 18th St ,94114
San Francisco,https://mementosf.com/pages/menu,Memento SF,49,(415) 829-3099,,4.7,CA,1305 Castro St ,94114
San Francisco,http://www.horsefeatherbar.com/menu,Horsefeather,588,(415) 817-1939,"$17.00,$18.00,$13.00,$16.00",4.0,CA,528 Divisidero St ,94117
San Francisco,,Savor,215,(628) 626-4779,"$15.00,$15.00,$15.00,$15.00,$14.00,$15.00,$14.00",4.7,CA,401 Irving St ,94122
San Francisco,https://www.oraansf.com/menu,Oraan Thai Eatery,73,(628) 219-7598,,4.7,CA,3750 Geary Blvd ,94118
San Francisco,,Four Kings,30,"710 Commercial St San Francisco, CA 94108",,4.8,CA,710 Commercial St ,94108
San Francisco,https://www.thatsmyjamsf.com/menus,That's My Jam,94,(415) 349-0595,,4.8,CA,324 Divisadero St ,94117
San Francisco,https://static1.squarespace.com/static/59096b52be6594072324fc26/t/5f07bb24c82d36003ae2a8d8/1594342180797/MarufukuSF_menu_070920.pdf,Marufuku Ramen,5077,(415) 872-9786,,4.5,CA,1581 Webster St Ste 235,94115
San Francisco,,Sweet Maple,4819,(415) 655-9169,,4.3,CA,2101 Sutter St ,94115
San Francisco,https://www.thetailorssonsf.com/menus/,The Tailor's Son,524,(415) 673-7200,,4.2,CA,2049 Fillmore St ,94115
San Francisco,https://www.lilyonclement.com/menutogo,Lily,465,(415) 742-5285,,4.3,CA,225 Clement St ,94118
San Francisco,https://www.thelaundromatsf.com/menu,The Laundromat,290,(415) 379-4340,,4.6,CA,3725 Balboa St ,94121
San Francisco,,Khao Tiew,38,(415) 996-1919,,4.8,CA,272 Claremont Blvd ,94127
San Francisco,https://bistroember.com/menu/,Bistro Ember,86,(415) 936-6096,,4.7,CA,1298 Church St ,94114
San Francisco,,Hu Tong Jian Bing,39,(415) 529-2015,,3.9,CA,2291 3rd St ,94107
San Francisco,,Bansang,429,(415) 441-9294,,4.2,CA,1560 Fillmore St ,94115
San Francisco,,little shucker,163,"2016 Fillmore St San Francisco, CA 94115",,4.4,CA,2016 Fillmore St ,94115
San Francisco,http://www.pinsarossa.com/#rossa,Pinsa Rossa,108,(415) 922-4700,,4.7,CA,2101 Fillmore St ,94115
San Francisco,https://berettasf.com/divisadero/,Beretta Divisadero,503,(415) 654-5211,,4.2,CA,661 Divisadero St ,94117
San Francisco,https://www.jijime.com/menu-1,JIJIME,614,(415) 221-5353,,4.3,CA,5524 Geary Blvd ,94121
San Francisco,https://www.starbellysf.com/menus/,Starbelly,2335,(415) 252-7500,,3.8,CA,3583 16th St ,94114
San Francisco,http://www.noodleinhaystack.com/menu.html,Noodle in a Haystack,81,"4601 Geary Blvd San Francisco, CA 94118",,4.8,CA,4601 Geary Blvd ,94118
